,,,,,,,Misc,Misc,,Approx Val,Approx Val,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
4,124,CHI,Deon Bush\BushDe00,S,23,2018,0,0,0,3,3,34,0,0,0,0,0,0,0,0,0,0,0,21,,,Miami (FL),College Stats
4,125,IND,Antonio Morrison\MorrAn01,ILB,21,2018,0,0,1,9,9,41,0,1,0,0,0,0,0,0,0,0,0,107,,1.0,Florida,College Stats
4,126,KAN,Demarcus Robinson\RobiDe01,WR,21,2018,0,0,1,2,2,43,0,0,0,0,0,0,0,0,32,307,1,1,,,Florida,College Stats
4,127,CHI,Deiondre' Hall\HallDe02,CB,22,2018,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,5,1,,Northern Iowa,
4,128,ARI,Evan Boehm\BoehEv00,C,23,2018,0,0,1,6,6,36,0,0,0,0,0,0,0,0,0,0,0,,,,Missouri,College Stats
4,129,CLE,Derrick Kindred\KindDe00,S,22,2018,0,0,1,6,6,36,0,0,0,0,0,0,0,0,0,0,0,95,2,,TCU,College Stats
4,130,BAL,Alex Lewis\LewiAl01,T,24,2018,0,0,1,3,3,18,0,0,0,0,0,0,0,0,0,0,0,,,,Nebraska,College Stats
4,131,GNB,Blake Martinez\MartBl01,LB,22,2018,0,0,3,13,13,39,0,0,0,0,0,0,0,0,0,0,0,192,2,6.0,Stanford,College Stats
4,132,BAL,Willie Henry\HenrWi00,DT,22,2018,0,0,0,4,4,17,0,0,0,0,0,0,0,0,0,0,0,25,,4.5,Michigan,College Stats
4,133,SFO,Rashard Robinson\RobiRa00,CB,21,2018,0,0,0,7,6,32,0,0,0,0,0,0,0,0,0,0,0,46,2,,LSU,College Stats
4,134,BAL,Kenneth Dixon\DixoKe00,RB,22,2018,0,0,0,3,3,13,0,0,0,0,0,101,426,3,30,162,1,,,,Louisiana Tech,College Stats
4,135,DAL,Dak Prescott\PresDa01,QB,23,2018,0,1,3,29,29,42,816,1254,9129,56,22,166,900,16,0,0,0,,,,Mississippi St.,College Stats
4,136,DEN,Devontae Booker\BookDe00,RB,24,2018,0,0,0,8,8,39,0,0,0,0,0,278,1055,6,84,702,1,,,,Utah,College Stats
4,137,GNB,Dean Lowry\LowrDe00,DE,22,2018,0,0,1,7,7,41,0,0,0,0,0,0,0,0,0,0,0,41,,5.0,Northwestern,College Stats
4,138,CLE,Seth Devalve\DevaSe00,TE,23,2018,0,0,0,3,3,35,0,0,0,0,0,0,0,0,46,576,4,2,,,Princeton,
4,139,BUF,Cardale Jones\JoneCa01,QB,23,2016,0,0,0,0,0,1,6,11,96,0,1,1,-1,0,0,0,0,,,,Ohio St.,College Stats
5,140,TEN,Tajae Sharpe\SharTa00,WR,21,2018,0,0,2,5,5,26,0,0,0,0,0,2,17,0,63,781,4,,,,Massachusetts,College Stats
5,141,CAR,Zack Sanchez\SancZa00,CB,22,2016,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,4,,,Oklahoma,College Stats
5,142,SFO,Ronald Blair\BlaiRo00,DE,23,2018,0,0,0,2,2,32,0,0,0,0,0,0,0,0,0,0,0,35,,8.5,Appalachian St.,College Stats
5,143,OAK,DeAndre Washington\WashDe00,RB,23,2018,0,0,0,7,7,33,0,0,0,0,0,162,690,4,51,312,1,,,,Texas Tech,College Stats
5,144,DEN,Connor McGovern\McGoCo00,G,23,2018,0,0,1,3,3,25,0,0,0,0,0,0,0,0,0,0,0,,,,Missouri,College Stats
5,145,SFO,John Theus\TheuJo00,T,22,2016,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia,College Stats
5,146,BAL,Matt Judon\JudoMa00,DE,24,2018,0,0,2,9,9,40,0,0,0,0,0,0,0,0,0,0,0,82,,15.0,Grand Valley St.,
5,147,SEA,Quinton Jefferson\JeffQu00,DT,23,2018,0,0,1,1,1,19,0,0,0,0,0,0,0,0,0,0,0,17,,2.5,Maryland,College Stats
5,148,TAM,Caleb Benenoch\BeneCa00,T,22,2018,0,0,1,4,4,28,0,0,0,0,0,0,0,0,0,0,0,,,,UCLA,College Stats
5,149,NYG,Paul Perkins\PerkPa00,RB,21,2017,0,0,0,5,5,25,0,0,0,0,0,153,546,0,23,208,0,,,,UCLA,College Stats
5,150,CHI,Jordan Howard\HowaJo00,RB,21,2018,0,1,3,16,16,41,0,0,0,0,0,683,2958,20,65,523,1,1,,,Indiana,College Stats
5,151,DET,Joe Dahl\DahlJo00,G,23,2018,0,0,0,2,2,16,0,0,0,0,0,0,0,0,0,0,0,,,,Washington St.,College Stats
5,152,WAS,Matthew Ioannidis\IoanMa01,DT,22,2018,0,0,2,6,6,34,0,0,0,0,0,0,0,0,0,0,0,40,,12.0,Temple,College Stats
5,153,PHI,Wendell Smallwood\SmalWe00,RB,22,2018,0,0,1,5,5,31,0,0,0,0,0,187,743,3,37,331,2,,,,West Virginia,College Stats
5,154,CLE,Jordan Payton\PaytJo00,WR,23,2016,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,3,0,,,,UCLA,College Stats
5,155,IND,Joe Haeg\HaegJo00,T,23,2018,0,0,1,15,15,34,0,0,0,0,0,0,0,0,0,0,0,,,,North Dakota St.,
5,156,BUF,Jonathan Williams\WillJo07,RB,22,2018,0,0,0,1,1,14,0,1,0,0,0,30,94,1,2,1,0,,,,Arkansas,College Stats
5,157,TEN,LeShaun Sims\SimsLe00,CB,22,2018,0,0,0,4,4,36,0,0,0,0,0,0,0,0,0,0,0,47,2,,Southern Utah,
5,158,NYJ,Brandon Shell\ShelBr00,T,24,2018,0,0,2,7,7,30,0,0,0,0,0,0,0,0,0,0,0,,,,South Carolina,College Stats
